order_id,date,product,qty,unit_price,line_total,customer_name
ORD10248,2024-08-07,Gadget Y,6,549.0,3294.0,Fatima Garcia
ORD10269,2024-07-17,Gadget Y,4,549.0,2196.0,Hassan Patel
ORD10273,2024-07-02,Service Plan,6,49.0,294.0,Fatima Hussain
ORD10281,2024-06-07,Widget B,7,21.0,147.0,Omar Garcia
ORD10284,2024-08-10,Service Plan,4,44.99,179.96,Ayesha Iqbal
ORD10286,2024-09-17,Service Plan,2,44.99,89.0,Omar Iqbal
ORD10295,2024-05-09,Service Plan,3,49.99,149.97,Maria Smith
ORD10311,2024-08-24,Service Plan,2,54.0,109.98,John Smith
ORD10319,2024-07-17,Gadget Y,10,5.49,54.9,Noor Chen
ORD10356,2024-06-29,Service Plan,9,49.99,449.91,Fatima Patel
ORD10378,2024-11-22,Widget A,6,11.0,67.0,Noor Ahmed
ORD10393,2024-08-11,Gadget X,3,7.0,21.0,Sara Ahmed
ORD10405,2024-08-10,Gadget Y,2,549.0,1098.0,Omar Patel
ORD10407,2024-06-20,Service Plan,3,49.99,149.0,Ayesha Reyes
ORD10423,2024-10-13,Gadget X,4,7.7,30.8,Hassan Smith
ORD10439,2024-10-31,Gadget Y,5,5.0,25.0,Ali Ahmed
ORD10446,2024-07-21,Widget A,7,13.75,96.25,Fatima Hussain
ORD10451,2024-07-06,Widget B,2,21.99,43.98,Maria Garcia
ORD10455,2024-12-11,Widget A,5,13.0,65.0,Ayesha Reyes
ORD10465,2024-08-02,Widget B,9,17.99,161.91,Fatima Iqbal
ORD10471,2024-10-24,Widget B,3,17.99,53.97,Maria Hussain
ORD10478,2024-09-19,Service Plan,4,54.99,219.96,Noor Ahmed
ORD10481,2024-09-08,Gadget Y,1,4.94,4.94,Sara Garcia
ORD10499,2024-09-26,Widget A,3,13.75,41.25,Maria Hussain
ORD10501,2024-10-11,Gadget X,7,7.0,49.0,Ali Ahmed
ORD10502,2024-10-30,Gadget Y,1,5.0,5.0,Zain Lee
ORD10503,2024-07-21,Widget B,1,19.99,19.99,Sara Hussain
ORD10511,2024-08-04,Gadget Y,3,6.0,18.0,John Hussain
ORD10511,2024-12-14,Widget B,4,19.0,76.0,Noor Patel
ORD10518,2024-11-24,Gadget Y,3,5.49,16.47,Zain Chen
ORD10521,2024-09-27,Gadget X,6,770.0,4620.0,Omar Hussain
ORD10527,2024-10-28,Gadget Y,5,4.94,24.71,Ali Patel
ORD10540,2024-10-13,Service Plan,3,54.0,162.0,Ali Garcia
ORD10541,2024-10-17,Gadget Y,2,5.49,10.98,Fatima Garcia
ORD10555,2024-07-30,Gadget X,7,7.0,49.0,Sara Ahmed
ORD10572,2024-06-18,Gadget Y,4,549.0,2196.0,Zain Reyes
ORD10584,2024-11-06,Widget A,8,11.25,90.0,Ali Patel
ORD10593,2024-09-17,Widget A,1,12.0,12.0,Noor Reyes
ORD10599,2024-11-23,Gadget X,4,7.7,30.8,Ali Lee
ORD10609,2024-12-06,Gadget X,8,7.0,56.0,Fatima Ahmed
ORD10640,2024-10-29,Gadget X,10,700.0,7000.0,Hassan Lee
ORD10644,2024-06-25,Service Plan,4,4999.0,19996.0,Ali Chen
ORD10648,2024-09-19,Widget A,9,12.5,112.5,Fatima Lee
ORD10648,2024-09-21,Service Plan,7,49.0,343.0,Ayesha Lee
ORD10652,2024-01-10,Gadget Y,1,5.0,5.0,Noor Reyes
ORD10657,2024-07-11,Service Plan,5,49.99,249.95,Ayesha Hussain
ORD10673,2024-11-25,Gadget X,10,7.0,70.0,Hassan Lee
ORD10674,2024-12-08,Gadget Y,1,5.49,5.49,Hassan Lee
ORD10678,2024-11-11,Widget A,9,12.0,108.0,Ayesha Iqbal
ORD10691,2024-06-06,Widget B,8,19.99,159.92,Ali Iqbal
ORD10698,2024-10-17,Widget B,10,1999.0,19990.0,Noor Patel
ORD10721,2024-10-25,Widget A,3,13.0,39.19,Hassan Khan
ORD10726,2024-12-10,Widget A,7,12.5,87.5,Fatima Smith
ORD10743,2024-07-12,Gadget Y,8,5.49,43.92,Sara Hussain
ORD10752,2024-07-04,Widget B,2,17.99,35.98,John Reyes
ORD10753,2024-11-03,Gadget Y,4,5.0,20.0,Noor Patel
ORD10761,2024-09-14,Service Plan,3,44.99,134.97,Hassan Khan
ORD10766,2024-12-12,Service Plan,6,4999.0,29994.0,Sara Reyes
ORD10772,2024-11-05,Gadget Y,6,549.0,3294.0,Omar Hussain
ORD10773,2024-06-08,Gadget X,2,7.0,14.0,Maria Garcia
ORD10796,2024-10-31,Widget B,1,19.99,19.99,Omar Patel
ORD10802,2024-08-10,Widget A,2,1250.0,2500.0,Hassan Ahmed
ORD10815,2024-07-20,Gadget Y,7,5.49,38.43,Noor Chen
ORD10817,2024-10-16,Gadget Y,8,604.0,4832.0,Ali Patel
ORD10832,2024-06-02,Widget B,2,17.0,34.0,Hassan Garcia
ORD10833,2024-07-06,Widget A,6,12.0,72.0,Noor Lee
ORD10833,2024-10-04,Widget B,7,1999.0,13993.0,Maria Reyes
ORD10854,2024-09-19,Gadget X,2,700.0,1400.0,John Reyes
ORD10901,2024-12-16,Service Plan,9,49.0,441.0,John Chen
ORD10906,2024-08-18,Gadget X,1,7.0,7.0,Omar Garcia
ORD10911,2024-08-26,Service Plan,5,49.0,249.0,John Khan
ORD10922,2024-07-28,Gadget X,7,7.7,53.9,John Ahmed
ORD10923,2024-11-17,Service Plan,6,4999.0,29994.0,Sara Lee
ORD10926,2024-08-15,Gadget X,7,6.3,44.1,Omar Garcia
ORD10941,2024-02-10,Widget B,4,19.0,76.0,Zain Lee
ORD10944,2024-09-13,Gadget Y,2,494.0,988.0,Ayesha Lee
ORD10945,2024-06-18,Service Plan,4,44.99,179.96,John Lee
ORD10955,2024-08-01,Gadget Y,9,5.49,49.41,Noor Patel
ORD10981,2024-10-18,Gadget X,6,700.0,4200.0,Noor Ahmed
ORD10987,2024-07-17,Service Plan,4,49.99,199.96,Noor Smith
ORD10993,2024-12-24,Widget B,6,19.99,119.0,Hassan Chen
ORD11003,2024-10-16,Service Plan,8,49.0,392.0,Zain Smith
ORD11008,2024-09-29,Service Plan,10,44.99,449.9,Maria Khan
ORD11010,2024-07-24,Service Plan,3,49.99,149.97,Fatima Hussain
ORD11010,2024-09-29,Gadget Y,3,5.49,16.47,Hassan Lee
ORD11020,2024-06-25,Gadget X,1,7.7,7.7,Omar Iqbal
ORD11020,2024-08-26,Widget B,5,17.0,85.0,Sara Khan
ORD11030,2024-06-19,Gadget Y,6,5.0,30.0,Sara Smith
ORD11040,2024-10-25,Service Plan,7,5499.0,38493.0,Sara Iqbal
ORD11045,2024-12-19,Service Plan,4,49.99,199.96,Sara Lee
ORD11068,2024-08-19,Gadget X,3,6.3,18.9,Omar Khan
ORD11069,2024-07-13,Gadget X,4,7.0,28.0,Fatima Iqbal
ORD11086,2024-12-04,Widget A,9,12.5,112.5,Maria Chen
ORD11089,2024-11-11,Widget A,7,12.5,87.0,Zain Smith
ORD11089,2024-12-12,Widget A,3,1250.0,3750.0,Fatima Smith
ORD11096,2024-10-31,Widget B,6,19.99,119.94,Zain Khan
ORD11103,2024-10-07,Gadget X,3,630.0,1890.0,Fatima Hussain
ORD11104,2024-11-02,Widget A,10,12.5,125.0,Ali Smith
ORD11110,2024-04-06,Widget A,3,11.25,33.75,Ali Khan
ORD11117,2024-07-17,Gadget Y,7,5.0,35.0,Zain Ahmed
ORD11133,2024-06-18,Gadget X,10,7.7,77.0,Omar Patel
ORD11140,2024-10-23,Widget B,3,1999.0,5997.0,Maria Lee
ORD11146,2024-10-09,Widget A,8,12.5,100.0,Fatima Garcia
ORD11157,2024-08-20,Widget B,6,21.99,131.0,Fatima Hussain
ORD11183,2024-12-13,Gadget Y,5,5.49,27.0,Hassan Patel
ORD11185,2024-09-12,Gadget Y,6,494.0,2964.0,Omar Reyes
ORD11188,2024-12-17,Gadget Y,2,5.49,10.98,Fatima Khan
ORD11190,2024-09-20,Widget B,3,17.99,53.97,Maria Patel
ORD11199,2024-07-21,Widget A,6,1250.0,7500.0,Maria Khan
ORD11211,2024-12-10,Gadget Y,9,5.49,49.41,John Khan
ORD11217,2024-10-02,Widget B,1,19.0,19.0,Omar Smith
ORD11227,2024-07-27,Widget A,5,12.5,62.5,Ali Garcia
ORD11242,2024-08-25,Service Plan,2,49.99,99.0,Sara Lee
ORD11246,2024-08-26,Service Plan,8,54.99,439.91,Hassan Khan
ORD11255,2024-06-21,Gadget Y,5,4.94,24.71,Ali Smith
ORD11278,2024-07-20,Gadget X,7,7.0,49.0,Ayesha Iqbal
ORD11280,2024-06-30,Gadget Y,9,549.0,4941.0,Ali Iqbal
ORD11280,2024-07-19,Gadget X,5,7.0,35.0,Maria Khan
ORD11286,2024-09-18,Widget B,8,17.99,143.93,Sara Hussain
ORD11292,2024-06-11,Widget B,1,19.0,19.0,Ayesha Garcia
ORD11292,2024-11-23,Gadget Y,3,6.04,18.12,Fatima Iqbal
ORD11301,2024-10-22,Service Plan,4,49.99,199.96,Ali Smith
ORD11319,2024-11-07,Gadget Y,9,549.0,4941.0,Zain Lee
ORD11345,2024-07-10,Service Plan,1,49.99,49.99,Ali Reyes
ORD11363,2024-10-12,Gadget X,9,700.0,6300.0,Zain Garcia
ORD11371,2024-09-18,Widget A,2,12.5,25.0,Fatima Ahmed
ORD11393,2024-07-27,Service Plan,9,54.0,486.0,Omar Hussain
ORD11400,2024-08-15,Widget A,9,13.75,123.75,Omar Chen
ORD11412,2024-07-13,Gadget X,5,6.0,30.0,Omar Chen
ORD11412,2024-09-27,Gadget X,3,7.0,21.0,Hassan Hussain
ORD11420,2024-10-08,Service Plan,7,49.99,349.93,Hassan Ahmed
ORD11428,2024-12-01,Gadget X,4,7.7,30.8,John Patel
ORD11430,2024-08-16,Gadget X,4,7.0,28.0,Hassan Reyes
ORD11443,2024-08-04,Service Plan,10,44.99,449.9,Zain Khan
ORD11445,2024-10-02,Service Plan,10,54.99,549.89,Sara Lee
ORD11447,2024-10-12,Gadget Y,4,5.0,20.0,Omar Chen
ORD11457,2024-07-17,Gadget Y,4,5.0,20.0,John Reyes
ORD11459,2024-12-20,Widget A,5,12.0,60.0,Omar Smith
ORD11464,2024-06-18,Service Plan,8,54.99,439.91,John Lee
ORD11475,2024-11-11,Gadget Y,5,5.49,27.45,Ali Khan
ORD11492,2024-08-17,Gadget Y,3,4.94,14.82,Sara Garcia
ORD11498,2024-08-06,Gadget X,4,700.0,2800.0,John Ahmed
ORD11500,2024-11-19,Widget A,2,1125.0,2250.0,Fatima Chen
ORD11508,2024-12-10,Gadget X,10,7.0,70.0,Zain Patel
ORD11510,2024-10-11,Widget A,9,1250.0,11250.0,Fatima Garcia
ORD11511,2024-10-06,Gadget Y,7,549.0,3843.0,John Smith
ORD11517,2024-04-10,Widget A,4,13.75,55.0,Hassan Smith
ORD11519,2024-10-03,Widget B,8,19.99,159.92,Fatima Lee
ORD11529,2024-11-03,Service Plan,1,44.99,44.99,Maria Lee
ORD11531,2024-10-09,Service Plan,10,49.99,499.9,Sara Patel
ORD11539,2024-08-09,Gadget Y,1,5.0,5.0,Sara Patel
ORD11550,2024-06-27,Gadget Y,6,6.0,36.0,Maria Khan
ORD11570,2024-06-29,Gadget Y,2,6.0,12.0,Maria Patel
ORD11571,2024-08-02,Widget B,1,19.0,19.0,Zain Ahmed
ORD11576,2024-09-28,Gadget Y,2,4.94,10.0,Fatima Lee
ORD11588,2024-11-14,Widget B,7,19.0,133.0,Fatima Reyes
ORD11591,2024-10-16,Gadget Y,1,5.0,5.0,Zain Khan
ORD11594,2024-06-29,Service Plan,5,44.99,224.95,Fatima Lee
ORD11595,2024-09-23,Gadget X,6,7.0,42.0,Ayesha Garcia
ORD11603,2024-09-12,Widget A,1,12.0,12.0,Ali Hussain
ORD11625,2024-11-24,Widget B,6,19.0,114.0,Fatima Smith
ORD11628,2024-11-25,Gadget Y,4,5.49,21.96,Hassan Reyes
ORD11631,2024-08-21,Widget A,5,1375.0,6875.0,Omar Hussain
ORD11649,2024-06-25,Gadget Y,2,5.49,10.98,Zain Iqbal
ORD11651,2024-12-01,Gadget X,6,7.0,42.0,Hassan Smith
ORD11658,2024-12-04,Widget A,5,11.25,56.0,Maria Khan
ORD11663,2024-09-19,Gadget Y,3,5.0,15.0,Omar Patel
ORD11673,2024-12-10,Widget A,1,1375.0,1375.0,John Garcia
ORD11677,2024-11-13,Gadget X,1,6.3,6.3,Hassan Hussain
ORD11690,2024-07-06,Service Plan,5,4999.0,24995.0,Sara Lee
ORD11696,2024-07-25,Widget B,1,17.99,17.99,Zain Ahmed
ORD11699,2024-08-18,Widget B,6,19.99,119.94,Zain Garcia
ORD11710,2024-07-01,Widget B,9,19.99,179.0,John Hussain
ORD11716,2024-08-28,Widget A,2,12.5,25.0,John Hussain
ORD11719,2024-07-21,Gadget X,6,7.0,42.0,Ali Ahmed
ORD11719,2024-08-02,Gadget Y,6,604.0,3624.0,Sara Iqbal
ORD11726,2024-07-09,Widget A,10,1250.0,12500.0,Ayesha Ahmed
ORD11730,2024-07-24,Gadget X,8,7.0,56.0,Zain Iqbal
ORD11736,2024-08-14,Service Plan,5,4999.0,24995.0,Ali Khan
ORD11737,2024-08-01,Service Plan,3,54.0,164.97,Noor Chen
ORD11739,2024-10-13,Service Plan,10,44.99,449.91,John Ahmed
ORD11743,2024-07-14,Gadget Y,8,6.0,48.31,Maria Iqbal
ORD11756,2024-06-06,Widget B,6,19.99,119.94,Ayesha Garcia
ORD11760,2024-09-08,Gadget X,2,6.3,12.6,Maria Hussain
ORD11771,2024-11-26,Widget A,4,13.75,55.0,Ali Reyes
ORD11776,2024-06-11,Gadget X,1,700.0,700.0,Noor Reyes
ORD11790,2024-11-22,Service Plan,3,49.99,149.97,Ayesha Garcia
ORD11791,2024-09-23,Service Plan,3,49.99,149.97,Omar Lee
ORD11817,2024-12-09,Widget A,3,12.5,37.5,Fatima Reyes
ORD11834,2024-10-04,Widget A,4,13.75,55.0,Omar Ahmed
ORD11836,2024-06-09,Service Plan,9,44.99,404.91,Fatima Chen
ORD11836,2024-12-23,Gadget Y,4,5.49,21.96,Maria Khan
ORD11846,2024-06-05,Service Plan,8,49.99,399.92,John Khan
ORD11847,2024-10-05,Service Plan,6,5499.0,32994.0,Noor Chen
ORD11850,2024-08-01,Gadget X,2,7.0,14.0,Maria Garcia
ORD11854,2024-09-20,Service Plan,1,4499.0,4499.0,Sara Patel
ORD11854,2024-11-29,Service Plan,3,4999.0,14997.0,Fatima Ahmed
ORD11871,2024-07-21,Gadget X,3,700.0,2100.0,Noor Patel
ORD11877,2024-07-07,Widget A,4,12.5,50.0,Ayesha Patel
ORD11887,2024-10-26,Gadget X,3,630.0,1890.0,Noor Patel
ORD11889,2024-06-25,Service Plan,2,4999.0,9998.0,John Smith
ORD11890,2024-12-02,Gadget X,5,770.0,3850.0,Ali Ahmed
ORD11898,2024-07-15,Widget A,6,1250.0,7500.0,Maria Hussain
ORD11899,2024-06-04,Gadget Y,2,5.49,10.98,Zain Ahmed
ORD11901,2024-12-04,Gadget Y,4,5.49,21.96,Hassan Patel
ORD11908,2024-06-14,Gadget Y,5,494.0,2470.0,Noor Patel
ORD11908,2024-07-20,Gadget X,9,7.0,63.0,Fatima Hussain
ORD11941,2024-06-28,Widget B,4,1999.0,7996.0,Hassan Ahmed
ORD11943,2024-09-30,Widget B,10,17.99,179.9,Sara Chen
ORD11947,2024-07-20,Widget A,9,1375.0,12375.0,Noor Patel
ORD11956,2024-10-29,Gadget Y,10,5.49,54.9,Noor Reyes
ORD11971,2024-03-09,Service Plan,4,5499.0,21996.0,Zain Patel
ORD11975,2024-08-06,Widget B,4,19.99,79.96,Omar Smith
ORD11978,2024-07-26,Widget A,8,12.5,100.0,Noor Hussain
ORD11999,2024-11-07,Service Plan,9,49.99,449.91,John Patel
ORD12019,2024-08-20,Service Plan,8,49.0,392.0,Zain Reyes
ORD12025,2024-10-31,Widget B,9,21.0,189.0,Fatima Khan
ORD12043,2024-09-25,Widget A,4,12.5,50.0,Omar Hussain
ORD12078,2024-09-10,Gadget Y,3,5.49,16.47,Maria Garcia
ORD12093,2024-07-28,Service Plan,6,49.99,299.0,Sara Lee
ORD12106,2024-06-10,Widget B,10,19.99,199.9,Maria Ahmed
ORD12107,2024-05-06,Service Plan,6,49.0,294.0,Ayesha Reyes
ORD12107,2024-07-20,Widget B,5,19.99,99.95,Ali Hussain
ORD12116,2024-06-23,Gadget Y,8,494.0,3952.0,Ali Hussain
ORD12116,2024-10-15,Service Plan,7,49.0,343.0,Noor Garcia
ORD12123,2024-10-23,Gadget Y,1,4.94,4.94,Maria Ahmed
ORD12127,2024-07-25,Widget B,6,19.0,114.0,Sara Smith
ORD12147,2024-06-24,Gadget Y,3,549.0,1647.0,Ali Reyes
ORD12155,2024-08-24,Widget B,6,19.99,119.94,Maria Chen
ORD12161,2024-10-05,Gadget X,3,7.7,23.1,Sara Reyes
ORD12161,2024-11-07,Service Plan,7,49.0,343.0,Noor Chen
ORD12181,2024-08-07,Gadget X,9,7.0,63.0,Zain Iqbal
ORD12192,2024-10-14,Service Plan,1,54.99,54.99,Maria Khan
ORD12211,2024-09-22,Widget A,4,12.5,50.0,Ayesha Smith
ORD12214,2024-11-23,Gadget Y,7,5.49,38.43,Ali Hussain
ORD12215,2024-09-26,Gadget Y,3,549.0,1647.0,Omar Reyes
ORD12215,2024-11-22,Gadget Y,10,6.04,60.39,Zain Iqbal
ORD12223,2024-11-01,Service Plan,3,49.99,149.97,Maria Chen
ORD12231,2024-10-05,Widget A,5,1250.0,6250.0,Noor Iqbal
ORD12246,2024-07-22,Widget A,6,12.5,75.0,Zain Patel
ORD12253,2024-01-09,Widget A,10,12.5,125.0,Ayesha Iqbal
ORD12255,2024-12-13,Widget B,1,21.99,21.99,Ali Iqbal
ORD12285,2024-11-28,Gadget Y,10,5.49,54.9,Fatima Patel
ORD12289,2024-08-21,Widget A,10,1250.0,12500.0,Fatima Ahmed
ORD12301,2024-09-28,Widget B,5,19.0,95.0,John Chen
ORD12324,2024-06-10,Widget B,8,19.99,159.0,Zain Reyes
ORD12352,2024-06-27,Service Plan,1,49.99,49.99,Omar Reyes
ORD12355,2024-12-20,Widget A,1,12.5,12.5,Sara Garcia
ORD12376,2024-06-10,Gadget X,4,7.0,28.0,Ayesha Patel
ORD12392,2024-08-13,Widget A,5,12.0,60.0,Sara Smith
ORD12394,2024-11-26,Widget A,6,12.5,75.0,Noor Chen
ORD12396,2024-08-28,Widget A,2,1250.0,2500.0,Sara Smith
ORD12408,2024-08-28,Gadget X,6,700.0,4200.0,Omar Khan
ORD12410,2024-10-23,Gadget X,3,7.0,21.0,Omar Lee
ORD12435,2024-11-10,Gadget Y,6,4.0,24.0,Omar Chen
ORD12438,2024-10-22,Gadget X,9,7.0,63.0,Ayesha Patel
ORD12459,2024-11-12,Gadget X,3,7.0,21.0,Noor Garcia
ORD12468,2024-06-04,Service Plan,9,44.99,404.91,Zain Hussain
ORD12472,2024-09-08,Widget A,7,13.75,96.25,John Garcia
ORD12482,2024-08-05,Gadget Y,1,5.49,5.49,Ali Garcia
ORD12500,2024-06-23,Gadget X,5,7.7,38.5,Hassan Smith
ORD12503,2024-07-07,Gadget X,5,7.7,38.5,Omar Patel
ORD12503,2024-10-21,Widget B,7,19.99,139.93,Omar Lee
ORD12511,2024-07-19,Widget B,1,17.99,17.99,Ayesha Smith
ORD12512,2024-10-30,Gadget Y,6,6.04,36.23,Hassan Ahmed
ORD12521,2024-07-14,Gadget Y,4,5.0,20.0,Hassan Hussain
ORD12526,2024-06-29,Gadget X,6,6.0,36.0,Noor Smith
ORD12526,2024-11-30,Widget B,4,17.0,68.37,Omar Ahmed
ORD12547,2024-10-31,Service Plan,9,44.99,404.92,Omar Garcia
ORD12547,2024-11-27,Widget A,1,11.25,11.25,Maria Khan
ORD12548,2024-08-23,Widget B,10,19.99,199.9,Ali Khan
ORD12558,2024-12-03,Gadget Y,10,4.94,49.41,Ayesha Hussain
ORD12559,2024-08-07,Service Plan,7,49.99,349.93,Maria Reyes
ORD12581,2024-02-10,Widget B,5,19.99,99.95,Omar Garcia
ORD12583,2024-06-19,Gadget Y,4,5.49,21.96,Maria Patel
ORD12593,2024-09-26,Widget A,3,11.25,33.75,John Smith
ORD12616,2024-11-08,Gadget X,4,7.0,28.0,Fatima Chen
ORD12617,2024-07-12,Widget A,1,11.0,11.0,Sara Patel
ORD12625,2024-07-21,Gadget Y,5,6.04,30.2,Hassan Khan
ORD12636,2024-06-13,Service Plan,2,49.99,99.98,Ali Reyes
ORD12645,2024-07-01,Widget B,1,1999.0,1999.0,Ali Hussain
ORD12647,2024-10-08,Widget B,5,1999.0,9995.0,Ali Ahmed
ORD12651,2024-12-29,Gadget X,2,7.0,14.0,Ali Khan
ORD12664,2024-06-12,Service Plan,2,4999.0,9998.0,Omar Patel
ORD12666,2024-06-09,Widget A,6,1125.0,6750.0,Ali Iqbal
ORD12667,2024-11-09,Gadget Y,10,549.0,5490.0,Hassan Iqbal
ORD12673,2024-11-03,Widget A,9,12.5,112.5,Ali Khan
ORD12686,2024-10-10,Gadget X,4,7.7,30.8,Omar Garcia
ORD12717,2024-12-27,Service Plan,10,44.0,440.0,Omar Hussain
ORD12720,2024-06-06,Widget B,5,19.99,99.95,Maria Lee
ORD12722,2024-11-04,Gadget Y,8,6.04,48.31,Noor Iqbal
ORD12727,2024-08-15,Gadget Y,1,5.49,5.49,Maria Hussain
ORD12757,2024-11-16,Gadget Y,9,4.94,44.46,Sara Iqbal
ORD12760,2024-06-20,Service Plan,8,49.99,399.0,Fatima Chen
ORD12764,2024-10-05,Gadget X,10,7.0,70.0,John Lee
ORD12769,2024-08-09,Service Plan,7,44.99,314.94,John Iqbal
ORD12787,2024-07-05,Gadget Y,1,5.49,5.49,Noor Garcia
ORD12810,2024-09-09,Widget A,6,12.5,75.0,Noor Reyes
ORD12814,2024-12-20,Service Plan,4,4999.0,19996.0,Sara Lee
ORD12844,2024-07-14,Gadget X,10,7.0,70.0,Sara Garcia
ORD12844,2024-07-14,Widget A,9,12.5,112.5,Noor Khan
ORD12844,2024-12-23,Gadget X,7,7.0,49.0,Maria Khan
ORD12852,2024-07-18,Gadget X,2,6.3,12.6,Ali Iqbal
ORD12858,2024-06-12,Gadget X,6,6.3,37.8,Ayesha Garcia
ORD12866,2024-11-06,Gadget Y,3,549.0,1647.0,Ali Patel
ORD12874,2024-07-13,Gadget X,5,7.0,35.0,Maria Khan
ORD12898,2024-10-22,Gadget Y,9,5.49,49.41,Sara Garcia
ORD12900,2024-06-18,Widget B,5,1999.0,9995.0,John Garcia
ORD12902,2024-06-19,Gadget X,3,6.3,18.9,Zain Garcia
ORD12919,2024-11-30,Service Plan,9,54.99,494.91,Fatima Ahmed
ORD12930,2024-10-28,Gadget Y,6,5.49,32.94,Noor Smith
ORD12934,2024-02-08,Service Plan,8,49.99,399.92,Maria Garcia
ORD12938,2024-12-03,Service Plan,6,4999.0,29994.0,Zain Ahmed
ORD12946,2024-10-26,Gadget X,4,700.0,2800.0,Sara Garcia
ORD12948,2024-07-10,Service Plan,2,5499.0,10998.0,John Smith
ORD12949,2024-12-07,Service Plan,1,49.0,49.0,Hassan Reyes
ORD12960,2024-12-17,Gadget X,3,7.7,23.1,Fatima Iqbal
ORD12961,2024-11-10,Service Plan,8,4999.0,39992.0,Fatima Hussain
ORD12980,2024-07-17,Gadget Y,8,5.49,43.92,Ali Lee
ORD12993,2024-12-17,Widget B,10,1999.0,19990.0,John Lee
ORD13033,2024-07-05,Widget B,10,19.0,190.0,Fatima Lee
ORD13046,2024-12-03,Widget B,1,17.99,17.99,Noor Hussain
ORD13049,2024-08-27,Gadget Y,3,604.0,1812.0,Zain Smith
ORD13053,2024-12-14,Gadget Y,3,5.49,16.47,Ali Hussain
ORD13062,2024-06-26,Gadget Y,6,604.0,3624.0,Noor Smith
ORD13068,2024-12-10,Gadget X,9,7.7,69.3,Sara Ahmed
ORD13081,2024-06-17,Gadget X,1,7.7,7.7,Maria Khan
ORD13082,2024-12-16,Gadget X,4,7.7,30.8,Zain Patel
ORD13132,2024-06-20,Gadget X,4,7.0,28.0,Zain Lee
ORD13150,2024-12-18,Widget B,8,19.99,159.92,Hassan Iqbal
ORD13154,2024-09-11,Gadget X,7,7.0,49.0,Zain Patel
ORD13155,2024-08-24,Widget A,2,1250.0,2500.0,Ali Hussain
ORD13161,2024-12-14,Gadget X,6,7.0,42.0,Noor Ahmed
ORD13175,2024-06-14,Widget B,8,19.99,159.92,Omar Iqbal
ORD13177,2024-10-04,Service Plan,5,4999.0,24995.0,Maria Iqbal
ORD13178,2024-07-23,Gadget Y,3,5.0,15.0,Ali Hussain
ORD13180,2024-12-25,Widget B,3,19.99,59.97,Fatima Hussain
ORD13181,2024-11-23,Service Plan,4,49.0,196.0,Omar Khan
ORD13186,2024-11-14,Service Plan,1,49.99,49.99,John Ahmed
ORD13199,2024-09-25,Gadget Y,3,6.04,18.12,Omar Hussain
ORD13205,2024-12-02,Service Plan,7,49.0,343.0,Fatima Ahmed
ORD13218,2024-11-01,Widget B,1,19.99,19.99,Omar Ahmed
ORD13232,2024-11-25,Service Plan,3,49.99,149.97,Ayesha Chen
ORD13236,2024-09-15,Gadget X,3,7.0,21.0,Sara Ahmed
ORD13248,2024-11-18,Service Plan,2,49.99,99.98,Maria Reyes
ORD13255,2024-06-07,Widget B,4,17.99,71.96,Ayesha Garcia
ORD13255,2024-12-10,Widget B,9,17.99,161.92,Maria Patel
